#time	cps	counts	seconds	cpm_3	cpm_30	cpm_300	peak_3	peak_30	peak_300	src	site
2026-09-01T00:00:00	9.292	272	29.2737	40.0	546.0	89.8	5180.0	554.0	89.8	flash	Bellevue High School
2026-09-01T00:00:30	0.464	14	30.1676	20.0	28.0	88.6	80.0	558.0	90.8	flash	Bellevue High School
2026-09-01T00:01:00	0.961	29	30.1676	20.0	58.0	91.6	140.0	60.0	91.6	flash	Bellevue High School
2026-09-01T00:01:30	0.464	14	30.1676	0.0	28.0	88.2	100.0	64.0	91.2	flash	Bellevue High School
2026-09-01T00:02:00	0.630	19	30.1676	20.0	38.0	88.6	160.0	40.0	88.8	flash	Bellevue High School
2026-09-01T00:02:30	0.696	21	30.1676	0.0	42.0	88.0	120.0	50.0	89.8	flash	Bellevue High School
2026-09-01T00:03:00	9.174	268	29.2123	20.0	536.0	140.8	5200.0	536.0	140.8	flash	Bellevue High School
2026-09-01T00:03:30	0.725	22	30.3352	100.0	44.0	141.2	100.0	556.0	142.0	flash	Bellevue High School
2026-09-01T00:04:00	0.824	25	30.3352	20.0	50.0	142.2	180.0	58.0	142.2	flash	Bellevue High School
2026-09-01T00:04:30	0.784	23	29.324	20.0	48.0	141.6	100.0	70.0	143.0	flash	Bellevue High School
2026-09-01T00:05:00	0.494	15	30.3352	20.0	30.0	90.0	100.0	52.0	143.0	flash	Bellevue High School
2026-09-01T00:05:30	0.890	27	30.3352	60.0	54.0	92.6	140.0	54.0	92.6	flash	Bellevue High School
2026-09-01T00:06:00	0.853	25	29.324	20.0	54.0	92.0	180.0	70.0	93.2	flash	Bellevue High School
2026-09-01T00:06:30	0.396	12	30.3352	40.0	24.0	91.4	100.0	56.0	92.2	flash	Bellevue High School
2026-09-01T00:07:00	0.659	20	30.3352	40.0	40.0	91.6	120.0	44.0	93.2	flash	Bellevue High School
2026-09-01T00:07:30	0.546	16	29.324	0.0	32.0	90.6	160.0	40.0	92.0	flash	Bellevue High School
2026-09-01T00:08:00	0.824	25	30.3352	20.0	50.0	42.0	160.0	56.0	92.4	flash	Bellevue High School
2026-09-01T00:08:30	0.560	17	30.3352	0.0	34.0	41.0	160.0	64.0	42.8	flash	Bellevue High School
2026-09-01T00:09:00	0.955	28	29.324	20.0	56.0	41.8	160.0	56.0	42.6	flash	Bellevue High School
2026-09-01T00:09:30	0.494	15	30.3352	0.0	30.0	40.0	200.0	56.0	41.6	flash	Bellevue High School
2026-09-01T00:10:00	0.758	23	30.3352	40.0	46.0	41.6	140.0	62.0	41.6	flash	Bellevue High School
2026-09-01T00:10:30	0.614	18	29.324	100.0	38.0	40.2	160.0	48.0	41.8	flash	Bellevue High School
2026-09-01T00:11:00	0.527	16	30.3352	40.0	32.0	38.0	160.0	38.0	39.8	flash	Bellevue High School
2026-09-01T00:11:30	0.923	28	30.3352	120.0	56.0	41.2	120.0	60.0	41.2	flash	Bellevue High School
2026-09-01T00:12:00	0.749	22	29.3581	0.0	48.0	41.6	180.0	66.0	42.6	flash	Bellevue High School
2026-09-01T00:12:30	0.590	18	30.5056	20.0	36.0	42.0	100.0	52.0	43.8	flash	Bellevue High School
2026-09-01T00:13:00	0.441	13	29.4888	120.0	28.0	39.6	120.0	40.0	42.8	flash	Bellevue High School
2026-09-01T00:13:30	0.688	21	30.5056	0.0	42.0	40.4	120.0	54.0	40.4	flash	Bellevue High School
2026-09-01T00:14:00	0.543	16	29.4888	180.0	32.0	38.0	180.0	48.0	40.6	flash	Bellevue High School
2026-09-01T00:14:30	0.688	21	30.5056	20.0	42.0	39.2	220.0	58.0	40.6	flash	Bellevue High School
2026-09-01T00:15:00	9.708	286	29.4604	40.0	574.0	92.0	5200.0	574.0	92.0	flash	Bellevue High School
2026-09-01T00:15:30	0.824	25	30.3352	20.0	50.0	93.2	160.0	588.0	94.4	flash	Bellevue High School
